day,n_orders,real_dispatched,real_missed,real_revenue,real_deadhead_cost,real_deadhead_miles,real_net,a_assigned,a_unassigned,a_net_revenue,a_deadhead_miles,b_assigned,b_unassigned,b_net_revenue,b_deadhead_miles
2026-07-03,15,12,3,1715.16,624.73,357.0,1090.43,6,9,436.89,154.8,14,1,1218.0,392.3
2026-07-06,45,30,15,3829.02,2922.38,1669.9,906.64,32,13,2709.76,1198.3,42,3,3626.68,2055.0
2026-07-07,47,43,4,7001.85,3105.86,1774.8,3896.0,37,10,4257.1,1164.6,46,1,5276.53,1375.4
2026-07-08,35,35,0,5470.21,2709.36,1548.2,2760.85,27,8,3752.45,850.0,34,1,3386.17,1188.9
2026-07-09,49,47,2,7821.76,2905.88,1660.5,4915.88,40,9,5076.76,1231.8,47,2,5560.39,1301.5
2026-07-10,55,44,11,5896.65,3040.63,1737.5,2856.02,40,15,3111.49,1283.9,50,5,3403.08,1247.9
2026-07-11,6,6,0,82.45,1233.98,705.1,-1151.54,3,3,-174.88,123.5,3,3,-174.88,123.5
2026-07-13,53,48,5,7008.25,3278.99,1873.7,3729.26,48,5,4182.03,1806.2,50,3,4865.32,1732.3
2026-07-14,60,58,2,9019.56,4489.69,2565.5,4529.87,51,9,4850.72,1794.3,59,1,6360.7,1609.9
2026-07-15,52,48,4,7779.18,3874.74,2214.1,3904.44,44,8,5173.55,1335.7,47,5,5169.34,1432.9
2026-07-16,48,48,0,7654.95,3657.55,2090.0,3997.4,41,7,4621.15,1278.4,48,0,5187.12,1410.2
2026-07-17,58,56,2,7793.41,3264.23,1865.3,4529.18,52,6,5102.88,1392.0,54,4,5256.33,1304.4
2026-07-18,6,6,0,82.45,1233.98,705.1,-1151.54,3,3,-174.88,123.5,3,3,-174.88,123.5
2026-07-20,50,45,5,7967.74,2826.62,1615.2,5141.12,40,10,3943.38,1776.6,49,1,5912.31,1622.4
2026-07-21,50,49,1,6996.37,2877.55,1644.3,4118.82,45,5,3316.18,1681.2,48,2,4300.66,1439.9
2026-07-22,46,45,1,6860.45,3345.04,1911.5,3515.41,35,11,4243.6,1038.2,46,0,4590.06,1297.4
2026-07-23,40,36,4,5439.59,2757.09,1575.5,2682.5,29,11,2133.63,1405.1,38,2,2463.08,1504.0
2026-07-24,55,55,0,5846.77,2804.55,1602.6,3042.22,45,10,2590.63,1457.0,51,4,3206.45,1286.8
2026-07-27,37,36,1,4104.06,1860.84,1063.3,2243.22,30,7,2248.61,847.5,35,2,2185.95,1069.2
2026-07-28,48,47,1,5307.21,3053.42,1744.8,2253.79,41,7,2566.16,1419.3,45,3,2814.65,1328.1
2026-07-29,49,48,1,5318.46,2694.01,1539.4,2624.46,40,9,2802.02,1097.7,44,5,2975.77,1067.4
2026-07-30,38,38,0,3496.94,2420.39,1383.1,1076.55,33,5,843.66,1083.1,34,4,955.76,1019.0
2026-07-31,69,64,5,7308.07,2911.99,1664.0,4396.08,46,23,4505.26,831.8,60,9,4174.5,1396.6
2026-08-01,9,9,0,566.55,1473.48,842.0,-906.94,8,1,-294.05,491.8,9,0,-494.4,606.3
2026-08-03,11,9,2,1506.68,1270.39,725.9,236.29,8,3,822.23,423.9,11,0,406.22,694.4
2026-08-04,30,30,0,2947.01,1969.35,1125.3,977.66,21,9,5.07,834.7,24,6,586.21,700.5
2026-08-05,48,46,2,6562.65,3047.35,1741.3,3515.3,42,6,3473.16,1386.7,44,4,4157.46,1217.1
2026-08-06,24,23,1,1997.43,1500.79,857.6,496.64,23,1,651.32,714.6,24,0,796.24,759.2
